alpha = 0.2, T = 0.25, x = 0.2, U = 1.0254844
alpha = 0.2, T = 0.25, x = 0.4, U = 1.2254844
alpha = 0.2, T = 0.25, x = 0.6, U = 1.4254844
alpha = 0.2, T = 0.5, x = 0.2, U = 1.1482326
alpha = 0.2, T = 0.5, x = 0.4, U = 1.3482326
alpha = 0.2, T = 0.5, x = 0.6, U = 1.5482326
alpha = 0.2, T = 0.75, x = 0.2, U = 1.2283315
alpha = 0.2, T = 0.75, x = 0.4, U = 1.4283315
alpha = 0.2, T = 0.75, x = 0.6, U = 1.6283315
alpha = 0.2, T = 1, x = 0.2, U = 1.2892332
alpha = 0.2, T = 1, x = 0.4, U = 1.4892332
alpha = 0.2, T = 1, x = 0.6, U = 1.6892332
alpha = 0.4, T = 0.25, x = 0.2, U = 0.8474554
alpha = 0.4, T = 0.25, x = 0.4, U = 1.0474554
alpha = 0.4, T = 0.25, x = 0.6, U = 1.2474554
alpha = 0.4, T = 0.5, x = 0.2, U = 1.0543226
alpha = 0.4, T = 0.5, x = 0.4, U = 1.2543226
alpha = 0.4, T = 0.5, x = 0.6, U = 1.4543226
alpha = 0.4, T = 0.75, x = 0.2, U = 1.2047508
alpha = 0.4, T = 0.75, x = 0.4, U = 1.4047508
alpha = 0.4, T = 0.75, x = 0.6, U = 1.6047508
alpha = 0.4, T = 1, x = 0.2, U = 1.3272854
alpha = 0.4, T = 1, x = 0.4, U = 1.5272854
alpha = 0.4, T = 1, x = 0.6, U = 1.7272854
alpha = 0.6, T = 0.25, x = 0.2, U = 0.6872970
alpha = 0.6, T = 0.25, x = 0.4, U = 0.8872970
alpha = 0.6, T = 0.25, x = 0.6, U = 1.0872970
alpha = 0.6, T = 0.5, x = 0.2, U = 0.9386041
alpha = 0.6, T = 0.5, x = 0.4, U = 1.1386041
alpha = 0.6, T = 0.5, x = 0.6, U = 1.3386041
alpha = 0.6, T = 0.75, x = 0.2, U = 1.1420338
alpha = 0.6, T = 0.75, x = 0.4, U = 1.3420338
alpha = 0.6, T = 0.75, x = 0.6, U = 1.5420338
alpha = 0.6, T = 1, x = 0.2, U = 1.3195145
alpha = 0.6, T = 1, x = 0.4, U = 1.5195145
alpha = 0.6, T = 1, x = 0.6, U = 1.7195145
alpha = 0.8, T = 0.25, x = 0.2, U = 0.5543423
alpha = 0.8, T = 0.25, x = 0.4, U = 0.7543423
alpha = 0.8, T = 0.25, x = 0.6, U = 0.9543423
alpha = 0.8, T = 0.5, x = 0.2, U = 0.8169458
alpha = 0.8, T = 0.5, x = 0.4, U = 1.0169458
alpha = 0.8, T = 0.5, x = 0.6, U = 1.2169458
alpha = 0.8, T = 0.75, x = 0.2, U = 1.0533359
alpha = 0.8, T = 0.75, x = 0.4, U = 1.2533359
alpha = 0.8, T = 0.75, x = 0.6, U = 1.4533359
alpha = 0.8, T = 1, x = 0.2, U = 1.2741650
alpha = 0.8, T = 1, x = 0.4, U = 1.4741650
alpha = 0.8, T = 1, x = 0.6, U = 1.6741650
