alpha = 0.9, T = 0.1, x = 1, U = 1.1409393
alpha = 0.9, T = 0.2, x = 1, U = 1.2807159
alpha = 0.9, T = 0.3, x = 1, U = 1.4307792
alpha = 0.9, T = 0.4, x = 1, U = 1.5941367
alpha = 0.9, T = 0.5, x = 1, U = 1.7730116
alpha = 0.9, T = 0.6, x = 1, U = 1.9694842
alpha = 0.9, T = 0.7, x = 1, U = 2.1856821
alpha = 0.9, T = 0.8, x = 1, U = 2.4238648
alpha = 0.9, T = 0.9, x = 1, U = 2.6864749
alpha = 0.9, T = 1, x = 1, U = 2.9761774
alpha = 0.8, T = 0.1, x = 1, U = 1.1892397
alpha = 0.8, T = 0.2, x = 1, U = 1.3575543
alpha = 0.8, T = 0.3, x = 1, U = 1.5336661
alpha = 0.8, T = 0.4, x = 1, U = 1.7228627
alpha = 0.8, T = 0.5, x = 1, U = 1.9283712
alpha = 0.8, T = 0.6, x = 1, U = 2.1528930
alpha = 0.8, T = 0.7, x = 1, U = 2.3990270
alpha = 0.8, T = 0.8, x = 1, U = 2.6694424
alpha = 0.8, T = 0.9, x = 1, U = 2.9669698
alpha = 0.8, T = 1, x = 1, U = 3.2946622
alpha = 0.7, T = 0.1, x = 1, U = 1.2556992
alpha = 0.7, T = 0.2, x = 1, U = 1.4596164
alpha = 0.7, T = 0.3, x = 1, U = 1.6682679
alpha = 0.7, T = 0.4, x = 1, U = 1.8899026
alpha = 0.7, T = 0.5, x = 1, U = 2.1290067
alpha = 0.7, T = 0.6, x = 1, U = 2.3890521
alpha = 0.7, T = 0.7, x = 1, U = 2.6732236
alpha = 0.7, T = 0.8, x = 1, U = 2.9847025
alpha = 0.7, T = 0.9, x = 1, U = 3.3268077
alpha = 0.7, T = 1, x = 1, U = 3.7030838
alpha = 0.6, T = 0.1, x = 1, U = 1.3494424
alpha = 0.6, T = 0.2, x = 1, U = 1.5993216
alpha = 0.6, T = 0.3, x = 1, U = 1.8501958
alpha = 0.6, T = 0.4, x = 1, U = 2.1141606
alpha = 0.6, T = 0.5, x = 1, U = 2.3973075
alpha = 0.6, T = 0.6, x = 1, U = 2.7040893
alpha = 0.6, T = 0.7, x = 1, U = 3.0384422
alpha = 0.6, T = 0.8, x = 1, U = 3.4042096
alpha = 0.6, T = 0.9, x = 1, U = 3.8053471
alpha = 0.6, T = 1, x = 1, U = 4.2460442
alpha = 0.5, T = 0.1, x = 1, U = 1.4868219
alpha = 0.5, T = 0.2, x = 1, U = 1.7990271
alpha = 0.5, T = 0.3, x = 1, U = 2.1075841
alpha = 0.5, T = 0.4, x = 1, U = 2.4297126
alpha = 0.5, T = 0.5, x = 1, U = 2.7736289
alpha = 0.5, T = 0.6, x = 1, U = 3.1450923
alpha = 0.5, T = 0.7, x = 1, U = 3.5490497
alpha = 0.5, T = 0.8, x = 1, U = 3.9902442
alpha = 0.5, T = 0.9, x = 1, U = 4.4735033
alpha = 0.5, T = 1, x = 1, U = 5.0039047
