alpha = 0.9, T = 0.1, x = 1, U = 1.0679163
alpha = 0.9, T = 0.2, x = 1, U = 1.1308486
alpha = 0.9, T = 0.3, x = 1, U = 1.1943435
alpha = 0.9, T = 0.4, x = 1, U = 1.2594398
alpha = 0.9, T = 0.5, x = 1, U = 1.3266578
alpha = 0.9, T = 0.6, x = 1, U = 1.3963449
alpha = 0.9, T = 0.7, x = 1, U = 1.4687730
alpha = 0.9, T = 0.8, x = 1, U = 1.5441775
alpha = 0.9, T = 0.9, x = 1, U = 1.6227752
alpha = 0.9, T = 1, x = 1, U = 1.7047741
alpha = 0.8, T = 0.1, x = 1, U = 1.0896878
alpha = 0.8, T = 0.2, x = 1, U = 1.1624550
alpha = 0.8, T = 0.3, x = 1, U = 1.2329874
alpha = 0.8, T = 0.4, x = 1, U = 1.3035317
alpha = 0.8, T = 0.5, x = 1, U = 1.3750808
alpha = 0.8, T = 0.6, x = 1, U = 1.4482155
alpha = 0.8, T = 0.7, x = 1, U = 1.5233364
alpha = 0.8, T = 0.8, x = 1, U = 1.6007521
alpha = 0.8, T = 0.9, x = 1, U = 1.6807198
alpha = 0.8, T = 1, x = 1, U = 1.7634669
alpha = 0.7, T = 0.1, x = 1, U = 1.1183209
alpha = 0.7, T = 0.2, x = 1, U = 1.2016656
alpha = 0.7, T = 0.3, x = 1, U = 1.2793261
alpha = 0.7, T = 0.4, x = 1, U = 1.3550999
alpha = 0.7, T = 0.5, x = 1, U = 1.4305596
alpha = 0.7, T = 0.6, x = 1, U = 1.5065662
alpha = 0.7, T = 0.7, x = 1, U = 1.5836722
alpha = 0.7, T = 0.8, x = 1, U = 1.6622719
alpha = 0.7, T = 0.9, x = 1, U = 1.7426708
alpha = 0.7, T = 1, x = 1, U = 1.8251203
alpha = 0.6, T = 0.1, x = 1, U = 1.1561912
alpha = 0.6, T = 0.2, x = 1, U = 1.2506051
alpha = 0.6, T = 0.3, x = 1, U = 1.3351703
alpha = 0.6, T = 0.4, x = 1, U = 1.4156081
alpha = 0.6, T = 0.5, x = 1, U = 1.4941866
alpha = 0.6, T = 0.6, x = 1, U = 1.5720977
alpha = 0.6, T = 0.7, x = 1, U = 1.6500718
alpha = 0.6, T = 0.8, x = 1, U = 1.7286053
alpha = 0.6, T = 0.9, x = 1, U = 1.8080619
alpha = 0.6, T = 1, x = 1, U = 1.8887242
alpha = 0.5, T = 0.1, x = 1, U = 1.2067730
alpha = 0.5, T = 0.2, x = 1, U = 1.3122197
alpha = 0.5, T = 0.3, x = 1, U = 1.4028872
alpha = 0.5, T = 0.4, x = 1, U = 1.4868219
alpha = 0.5, T = 0.5, x = 1, U = 1.5671124
alpha = 0.5, T = 0.6, x = 1, U = 1.6453372
alpha = 0.5, T = 0.7, x = 1, U = 1.7224361
alpha = 0.5, T = 0.8, x = 1, U = 1.7990271
alpha = 0.5, T = 0.9, x = 1, U = 1.8755461
alpha = 0.5, T = 1, x = 1, U = 1.9523181
