alpha = 0.50, T = 0.2, x = 0.25, U = 0.0820137
alpha = 0.50, T = 0.2, x = 0.5, U = 0.3280549
alpha = 0.50, T = 0.2, x = 0.75, U = 0.7381236
alpha = 0.50, T = 0.2, x = 1, U = 1.3122197
alpha = 0.50, T = 0.4, x = 0.25, U = 0.0929264
alpha = 0.50, T = 0.4, x = 0.5, U = 0.3717055
alpha = 0.50, T = 0.4, x = 0.75, U = 0.8363373
alpha = 0.50, T = 0.4, x = 1, U = 1.4868219
alpha = 0.50, T = 0.6, x = 0.25, U = 0.1028336
alpha = 0.50, T = 0.6, x = 0.5, U = 0.4113343
alpha = 0.50, T = 0.6, x = 0.75, U = 0.9255022
alpha = 0.50, T = 0.6, x = 1, U = 1.6453372
alpha = 0.50, T = 0.8, x = 0.25, U = 0.1124392
alpha = 0.50, T = 0.8, x = 0.5, U = 0.4497568
alpha = 0.50, T = 0.8, x = 0.75, U = 1.0119528
alpha = 0.50, T = 0.8, x = 1, U = 1.7990271
alpha = 0.75, T = 0.2, x = 0.25, U = 0.0738120
alpha = 0.75, T = 0.2, x = 0.5, U = 0.2952482
alpha = 0.75, T = 0.2, x = 0.75, U = 0.6643084
alpha = 0.75, T = 0.2, x = 1, U = 1.1809927
alpha = 0.75, T = 0.4, x = 0.25, U = 0.0830186
alpha = 0.75, T = 0.4, x = 0.5, U = 0.3320742
alpha = 0.75, T = 0.4, x = 0.75, U = 0.7471670
alpha = 0.75, T = 0.4, x = 1, U = 1.3282969
alpha = 0.75, T = 0.6, x = 0.25, U = 0.0922835
alpha = 0.75, T = 0.6, x = 0.5, U = 0.3691340
alpha = 0.75, T = 0.6, x = 0.75, U = 0.8305514
alpha = 0.75, T = 0.6, x = 1, U = 1.4765359
alpha = 0.75, T = 0.8, x = 0.25, U = 0.1019308
alpha = 0.75, T = 0.8, x = 0.5, U = 0.4077233
alpha = 0.75, T = 0.8, x = 0.75, U = 0.9173774
alpha = 0.75, T = 0.8, x = 1, U = 1.6308931
